Via_de_acesso;UF;nome_pais_correto;mes;ano;Chegadas
Aéreo;Alagoas;Alemanha;Janeiro;2023;12
Aéreo;Alagoas;Alemanha;Fevereiro;2023;10
Aéreo;Alagoas;Alemanha;Marco;2023;3
Aéreo;Alagoas;Argentina;Janeiro;2023;564
Aéreo;Alagoas;Argentina;Fevereiro;2023;474
Aéreo;Alagoas;Argentina;Marco;2023;520
Aéreo;Alagoas;Áustria;Janeiro;2023;1
Aéreo;Alagoas;Áustria;Marco;2023;4
Aéreo;Alagoas;Bélgica;Janeiro;2023;3
Aéreo;Alagoas;Bélgica;Fevereiro;2023;3
Aéreo;Alagoas;Bélgica;Marco;2023;0
Aéreo;Alagoas;Cabo Verde;Janeiro;2023;0
Aéreo;Alagoas;Canadá;Janeiro;2023;0
Aéreo;Alagoas;Chile;Janeiro;2023;1
Aéreo;Alagoas;Chile;Fevereiro;2023;1
Aéreo;Alagoas;Chile;Marco;2023;1
Aéreo;Alagoas;Dinamarca;Fevereiro;2023;1
Aéreo;Alagoas;Eslováquia;Janeiro;2023;0
Aéreo;Alagoas;Eslovênia;Janeiro;2023;5
Aéreo;Alagoas;Eslovênia;Fevereiro;2023;0
Aéreo;Alagoas;Espanha;Janeiro;2023;7
Aéreo;Alagoas;Espanha;Fevereiro;2023;13
Aéreo;Alagoas;Espanha;Marco;2023;13
Aéreo;Alagoas;Estados Unidos;Marco;2023;1
Aéreo;Alagoas;França;Janeiro;2023;9
Aéreo;Alagoas;França;Fevereiro;2023;19
Aéreo;Alagoas;França;Marco;2023;8
Aéreo;Alagoas;Grécia;Fevereiro;2023;1
Aéreo;Alagoas;Holanda;Janeiro;2023;0
Aéreo;Alagoas;Holanda;Fevereiro;2023;1
Aéreo;Alagoas;Honduras;Janeiro;2023;1
Aéreo;Alagoas;Hungria;Janeiro;2023;2
Aéreo;Alagoas;Hungria;Fevereiro;2023;2
Aéreo;Alagoas;Irlanda;Janeiro;2023;1
Aéreo;Alagoas;Irlanda;Fevereiro;2023;0
Aéreo;Alagoas;Irlanda;Marco;2023;0
Aéreo;Alagoas;Israel;Fevereiro;2023;5
Aéreo;Alagoas;Israel;Marco;2023;2
Aéreo;Alagoas;Itália;Janeiro;2023;79
Aéreo;Alagoas;Itália;Fevereiro;2023;41
Aéreo;Alagoas;Itália;Marco;2023;29
Aéreo;Alagoas;México;Fevereiro;2023;1
Aéreo;Alagoas;Noruega;Janeiro;2023;0
Aéreo;Alagoas;Paraguai;Fevereiro;2023;1
Aéreo;Alagoas;Paraguai;Marco;2023;1
Aéreo;Alagoas;Peru;Marco;2023;1
Aéreo;Alagoas;Polônia;Janeiro;2023;1
Aéreo;Alagoas;Portugal;Janeiro;2023;133
Aéreo;Alagoas;Portugal;Fevereiro;2023;108
Aéreo;Alagoas;Portugal;Marco;2023;165
Aéreo;Alagoas;Reino Unido;Janeiro;2023;3
Aéreo;Alagoas;Reino Unido;Fevereiro;2023;0
Aéreo;Alagoas;Reino Unido;Marco;2023;3
Aéreo;Alagoas;Romênia;Marco;2023;1
Aéreo;Alagoas;Suécia;Janeiro;2023;0
Aéreo;Alagoas;Suécia;Fevereiro;2023;2
Aéreo;Alagoas;Suíça;Janeiro;2023;5
Aéreo;Alagoas;Suíça;Fevereiro;2023;9
Aéreo;Alagoas;Suíça;Marco;2023;2
Aéreo;Alagoas;Uruguai;Fevereiro;2023;4
Aéreo;Alagoas;Venezuela;Janeiro;2023;2
Aéreo;Alagoas;Venezuela;Marco;2023;1
Aéreo;Amapá;França;Janeiro;2023;0
Aéreo;Amazonas;África do Sul;Janeiro;2023;2
Aéreo;Amazonas;África do Sul;Fevereiro;2023;1
Aéreo;Amazonas;África do Sul;Marco;2023;1
Aéreo;Amazonas;Alemanha;Janeiro;2023;16
Aéreo;Amazonas;Alemanha;Fevereiro;2023;12
Aéreo;Amazonas;Alemanha;Marco;2023;10
Aéreo;Amazonas;Argentina;Janeiro;2023;4
Aéreo;Amazonas;Argentina;Fevereiro;2023;4
Aéreo;Amazonas;Argentina;Marco;2023;6
Aéreo;Amazonas;Austrália;Janeiro;2023;5
Aéreo;Amazonas;Austrália;Fevereiro;2023;5
Aéreo;Amazonas;Austrália;Marco;2023;3
Aéreo;Amazonas;Áustria;Fevereiro;2023;1
Aéreo;Amazonas;Bahamas;Marco;2023;1
Aéreo;Amazonas;Barbados;Marco;2023;1
Aéreo;Amazonas;Bélgica;Janeiro;2023;1
Aéreo;Amazonas;Bélgica;Marco;2023;1
Aéreo;Amazonas;Belize;Janeiro;2023;6
Aéreo;Amazonas;Bolívia;Janeiro;2023;1
Aéreo;Amazonas;Bolívia;Marco;2023;2
Aéreo;Amazonas;Canadá;Janeiro;2023;53
Aéreo;Amazonas;Canadá;Fevereiro;2023;47
Aéreo;Amazonas;Canadá;Marco;2023;78
Aéreo;Amazonas;Chile;Janeiro;2023;0
Aéreo;Amazonas;Chile;Marco;2023;2
Aéreo;Amazonas;China;Janeiro;2023;1
Aéreo;Amazonas;China;Fevereiro;2023;2
Aéreo;Amazonas;China;Marco;2023;10
Aéreo;Amazonas;Colômbia;Janeiro;2023;10
Aéreo;Amazonas;Colômbia;Fevereiro;2023;16
Aéreo;Amazonas;Colômbia;Marco;2023;54
Aéreo;Amazonas;Costa Rica;Janeiro;2023;10
Aéreo;Amazonas;Costa Rica;Fevereiro;2023;6
Aéreo;Amazonas;Costa Rica;Marco;2023;7
Aéreo;Amazonas;Cuba;Janeiro;2023;8
Aéreo;Amazonas;Cuba;Fevereiro;2023;15
Aéreo;Amazonas;Cuba;Marco;2023;5
Aéreo;Amazonas;Dinamarca;Fevereiro;2023;1
Aéreo;Amazonas;Dinamarca;Marco;2023;3
Aéreo;Amazonas;Equador;Janeiro;2023;12
Aéreo;Amazonas;Equador;Fevereiro;2023;16
Aéreo;Amazonas;Equador;Marco;2023;14
Aéreo;Amazonas;Eslovênia;Marco;2023;1
Aéreo;Amazonas;Espanha;Janeiro;2023;3
Aéreo;Amazonas;Espanha;Fevereiro;2023;2
Aéreo;Amazonas;Espanha;Marco;2023;20
Aéreo;Amazonas;Estados Unidos;Janeiro;2023;1301
Aéreo;Amazonas;Estados Unidos;Fevereiro;2023;551
Aéreo;Amazonas;Estados Unidos;Marco;2023;1248
Aéreo;Amazonas;Etiópia;Janeiro;2023;1
Aéreo;Amazonas;Finlândia;Janeiro;2023;1
Aéreo;Amazonas;Finlândia;Fevereiro;2023;0
Aéreo;Amazonas;Finlândia;Marco;2023;1
Aéreo;Amazonas;França;Janeiro;2023;9
Aéreo;Amazonas;França;Fevereiro;2023;12
Aéreo;Amazonas;França;Marco;2023;4
Aéreo;Amazonas;Grécia;Janeiro;2023;0
Aéreo;Amazonas;Guatemala;Janeiro;2023;1
Aéreo;Amazonas;Guatemala;Fevereiro;2023;0
Aéreo;Amazonas;Guatemala;Marco;2023;1
Aéreo;Amazonas;Guiana;Janeiro;2023;1
Aéreo;Amazonas;Guiana;Marco;2023;3
Aéreo;Amazonas;Haiti;Janeiro;2023;6
Aéreo;Amazonas;Haiti;Fevereiro;2023;0
Aéreo;Amazonas;Haiti;Marco;2023;1
Aéreo;Amazonas;Holanda;Janeiro;2023;1
Aéreo;Amazonas;Holanda;Fevereiro;2023;27
Aéreo;Amazonas;Holanda;Marco;2023;6
Aéreo;Amazonas;Honduras;Janeiro;2023;0
Aéreo;Amazonas;Honduras;Fevereiro;2023;0
Aéreo;Amazonas;Honduras;Marco;2023;4
Aéreo;Amazonas;Hungria;Janeiro;2023;2
Aéreo;Amazonas;Hungria;Marco;2023;1
Aéreo;Amazonas;Índia;Marco;2023;4
Aéreo;Amazonas;Indonésia;Marco;2023;0
Aéreo;Amazonas;Irã;Janeiro;2023;1
Aéreo;Amazonas;Irã;Marco;2023;2
Aéreo;Amazonas;Irlanda;Janeiro;2023;2
Aéreo;Amazonas;Irlanda;Fevereiro;2023;3
Aéreo;Amazonas;Irlanda;Marco;2023;3
Aéreo;Amazonas;Israel;Janeiro;2023;5
Aéreo;Amazonas;Israel;Fevereiro;2023;2
Aéreo;Amazonas;Israel;Marco;2023;0
Aéreo;Amazonas;Itália;Janeiro;2023;1
Aéreo;Amazonas;Itália;Fevereiro;2023;4
Aéreo;Amazonas;Itália;Marco;2023;7
Aéreo;Amazonas;Jamaica;Marco;2023;1
Aéreo;Amazonas;Japão;Janeiro;2023;2
Aéreo;Amazonas;Japão;Fevereiro;2023;2
Aéreo;Amazonas;Japão;Marco;2023;7
Aéreo;Amazonas;Malásia;Janeiro;2023;1
Aéreo;Amazonas;México;Janeiro;2023;17
Aéreo;Amazonas;México;Fevereiro;2023;14
Aéreo;Amazonas;México;Marco;2023;19
Aéreo;Amazonas;Nicarágua;Janeiro;2023;2
Aéreo;Amazonas;Nicarágua;Marco;2023;2
Aéreo;Amazonas;Nigéria;Marco;2023;1
Aéreo;Amazonas;Noruega;Fevereiro;2023;2
Aéreo;Amazonas;Noruega;Marco;2023;1
Aéreo;Amazonas;Nova Zelândia;Janeiro;2023;1
Aéreo;Amazonas;Panamá;Janeiro;2023;0
Aéreo;Amazonas;Panamá;Fevereiro;2023;14
Aéreo;Amazonas;Panamá;Marco;2023;5
Aéreo;Amazonas;Peru;Janeiro;2023;11
Aéreo;Amazonas;Peru;Fevereiro;2023;12
Aéreo;Amazonas;Peru;Marco;2023;15
Aéreo;Amazonas;Polônia;Janeiro;2023;2
Aéreo;Amazonas;Polônia;Fevereiro;2023;1
Aéreo;Amazonas;Portugal;Janeiro;2023;2
Aéreo;Amazonas;Portugal;Fevereiro;2023;2
