Via_de_acesso;UF;nome_pais_correto;mes;ano;Chegadas
Aéreo;Alagoas;Alemanha;Janeiro;2024;10
Aéreo;Alagoas;Argentina;Janeiro;2024;1197
Aéreo;Alagoas;Bélgica;Janeiro;2024;3
Aéreo;Alagoas;Canadá;Janeiro;2024;2
Aéreo;Alagoas;Chile;Janeiro;2024;1
Aéreo;Alagoas;Dinamarca;Janeiro;2024;2
Aéreo;Alagoas;Eslováquia;Janeiro;2024;1
Aéreo;Alagoas;Espanha;Janeiro;2024;9
Aéreo;Alagoas;Estados Unidos;Janeiro;2024;1
Aéreo;Alagoas;França;Janeiro;2024;8
Aéreo;Alagoas;Holanda;Janeiro;2024;2
Aéreo;Alagoas;Irlanda;Janeiro;2024;3
Aéreo;Alagoas;Itália;Janeiro;2024;77
Aéreo;Alagoas;Letônia;Janeiro;2024;1
Aéreo;Alagoas;México;Janeiro;2024;1
Aéreo;Alagoas;Paraguai;Janeiro;2024;1
Aéreo;Alagoas;Polônia;Janeiro;2024;1
Aéreo;Alagoas;Portugal;Janeiro;2024;270
Aéreo;Alagoas;Reino Unido;Janeiro;2024;5
Aéreo;Alagoas;Rússia;Janeiro;2024;5
Aéreo;Alagoas;Suécia;Janeiro;2024;1
Aéreo;Alagoas;Suíça;Janeiro;2024;13
Aéreo;Alagoas;Ucrânia;Janeiro;2024;1
Aéreo;Alagoas;Venezuela;Janeiro;2024;4
Aéreo;Amapá;Itália;Janeiro;2024;2
Aéreo;Amazonas;Alemanha;Janeiro;2024;27
Aéreo;Amazonas;Angola;Janeiro;2024;1
Aéreo;Amazonas;Argentina;Janeiro;2024;8
Aéreo;Amazonas;Austrália;Janeiro;2024;11
Aéreo;Amazonas;Bélgica;Janeiro;2024;3
Aéreo;Amazonas;Belize;Janeiro;2024;1
Aéreo;Amazonas;Canadá;Janeiro;2024;94
Aéreo;Amazonas;China;Janeiro;2024;8
Aéreo;Amazonas;China, Hong Kong;Janeiro;2024;2
Aéreo;Amazonas;Colômbia;Janeiro;2024;75
Aéreo;Amazonas;Costa Rica;Janeiro;2024;8
Aéreo;Amazonas;Dinamarca;Janeiro;2024;5
